Date : 2026-03-09 16:37:26
Directory : c:\msys64\home\N0ne\myos
Total : 104 files,  35926 codes, 4154 comments, 3812 blanks, all 43892 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\msys64\home\N0ne\myos\tinycc\include\tgmath.h      | C++          |         71 |         12 |          7 |         90 |
| c:\msys64\home\N0ne\myos\tinycc\include\varargs.h     | C++          |          5 |          5 |          3 |         13 |
| c:\msys64\home\N0ne\myos\tinycc\libtcc.c              | C            |      1,925 |        168 |        180 |      2,273 |
| c:\msys64\home\N0ne\myos\tinycc\myos_port.h           | C++          |        219 |         46 |         38 |        303 |
| c:\msys64\home\N0ne\myos\tinycc\stab.h                | C++          |         10 |          1 |          7 |         18 |
| c:\msys64\home\N0ne\myos\tinycc\tcc.c                 | C            |        382 |         23 |         24 |        429 |
| c:\msys64\home\N0ne\myos\tinycc\tcc.h                 | C++          |      1,598 |        195 |        224 |      2,017 |
| c:\msys64\home\N0ne\myos\tinycc\tcc_entry.c           | C            |          5 |          0 |          1 |          6 |
| c:\msys64\home\N0ne\myos\tinycc\tccasm.c              | C            |      1,255 |        126 |         86 |      1,467 |
| c:\msys64\home\N0ne\myos\tinycc\tccdbg.c              | C            |      2,395 |         94 |        188 |      2,677 |
| c:\msys64\home\N0ne\myos\tinycc\tccelf.c              | C            |      3,354 |        433 |        330 |      4,117 |
| c:\msys64\home\N0ne\myos\tinycc\tccgen.c              | C            |      7,312 |        968 |        641 |      8,921 |
| c:\msys64\home\N0ne\myos\tinycc\tcclib.h              | C++          |         61 |         10 |         10 |         81 |
| c:\msys64\home\N0ne\myos\tinycc\tccpp.c               | C            |      3,458 |        278 |        270 |      4,006 |
| c:\msys64\home\N0ne\myos\tinycc\tccrun.c              | C            |      1,338 |        112 |        107 |      1,557 |
| c:\msys64\home\N0ne\myos\tinycc\tcctok.h              | C++          |        387 |         17 |         27 |        431 |
| c:\msys64\home\N0ne\myos\tinycc\tcctools.c            | C            |        487 |        102 |         63 |        652 |
| Total                                                 |              |     35,926 |      4,154 |      3,812 |     43,892 |
+-------------------------------------------------------+--------------+------------+------------+------------+------------+
