"filename", "language", "Makefile", "C", "C++", "Shell Script", "Properties", "Markdown", "nasm", "comment", "blank", "total"
"c:\msys64\home\N0ne\myos\include\lib\unistd_.h", "C++", 0, 0, 37, 0, 0, 0, 0, 1, 4, 42
"c:\msys64\home\N0ne\myos\include\mm\kheap.h", "C++", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\msys64\home\N0ne\myos\include\mm\pmm.h", "C++", 0, 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\msys64\home\N0ne\myos\include\mm\vmm.h", "C++", 0, 0, 20, 0, 0, 0, 0, 4, 8, 32
"c:\msys64\home\N0ne\myos\include\net\net.h", "C++", 0, 0, 78, 0, 0, 0, 0, 32, 23, 133
"c:\msys64\home\N0ne\myos\isodir\boot\grub\grub.cfg", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\msys64\home\N0ne\myos\src\apps\crt0.c", "C", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\msys64\home\N0ne\myos\src\apps\hello.c", "C", 0, 66, 0, 0, 0, 0, 0, 14, 16, 96
"c:\msys64\home\N0ne\myos\src\apps\ping.c", "C", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\msys64\home\N0ne\myos\src\apps\shell.c", "C", 0, 370, 0, 0, 0, 0, 0, 19, 17, 406
"c:\msys64\home\N0ne\myos\src\apps\start.s", "nasm", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\msys64\home\N0ne\myos\src\apps\ustart.s", "nasm", 0, 0, 0, 0, 0, 0, 14, 8, 5, 27
"c:\msys64\home\N0ne\myos\src\boot\boot.s", "nasm", 0, 0, 0, 0, 0, 0, 174, 43, 29, 246
"c:\msys64\home\N0ne\myos\src\boot\switch.s", "nasm", 0, 0, 0, 0, 0, 0, 29, 7, 6, 42
"c:\msys64\home\N0ne\myos\src\drivers\ide.c", "C", 0, 82, 0, 0, 0, 0, 0, 37, 31, 150
"c:\msys64\home\N0ne\myos\src\drivers\keyboard.c", "C", 0, 108, 0, 0, 0, 0, 0, 14, 14, 136
"c:\msys64\home\N0ne\myos\src\drivers\pic.c", "C", 0, 32, 0, 0, 0, 0, 0, 7, 8, 47
"c:\msys64\home\N0ne\myos\src\drivers\rlt8139.c", "C", 0, 167, 0, 0, 0, 0, 0, 54, 43, 264
"c:\msys64\home\N0ne\myos\src\drivers\terminal.c", "C", 0, 149, 0, 0, 0, 0, 0, 22, 15, 186
"c:\msys64\home\N0ne\myos\src\fs\fat.c", "C", 0, 595, 0, 0, 0, 0, 0, 80, 81, 756
"c:\msys64\home\N0ne\myos\src\kernel\elf.c", "C", 0, 112, 0, 0, 0, 0, 0, 20, 23, 155
"c:\msys64\home\N0ne\myos\src\kernel\gdt.c", "C", 0, 42, 0, 0, 0, 0, 0, 12, 14, 68
"c:\msys64\home\N0ne\myos\src\kernel\idt.c", "C", 0, 106, 0, 0, 0, 0, 0, 10, 20, 136
"c:\msys64\home\N0ne\myos\src\kernel\irq.c", "C", 0, 38, 0, 0, 0, 0, 0, 4, 7, 49
"c:\msys64\home\N0ne\myos\src\kernel\isr.c", "C", 0, 88, 0, 0, 0, 0, 0, 8, 9, 105
"c:\msys64\home\N0ne\myos\src\kernel\kernel.c", "C", 0, 47, 0, 0, 0, 0, 0, 1, 10, 58
"c:\msys64\home\N0ne\myos\src\kernel\syscall.c", "C", 0, 297, 0, 0, 0, 0, 0, 40, 44, 381
"c:\msys64\home\N0ne\myos\src\kernel\task.c", "C", 0, 183, 0, 0, 0, 0, 0, 27, 50, 260
"c:\msys64\home\N0ne\myos\src\kernel\timer.c", "C", 0, 12, 0, 0, 0, 0, 0, 1, 3, 16
"c:\msys64\home\N0ne\myos\src\lib\mylibc.c", "C", 0, 608, 0, 0, 0, 0, 0, 72, 99, 779
"c:\msys64\home\N0ne\myos\src\lib\stdio.c", "C", 0, 15, 0, 0, 0, 0, 0, 3, 3, 21
"c:\msys64\home\N0ne\myos\src\lib\stdlib.c", "C", 0, 40, 0, 0, 0, 0, 0, 10, 13, 63
"c:\msys64\home\N0ne\myos\src\lib\string.c", "C", 0, 69, 0, 0, 0, 0, 0, 8, 13, 90
